Name,Full_Name,PriCompany,Job_Code,Tags
315-39_6 Minute Central Valley Video,6 Minute Central Valley Video,California High Speed Rail Authority,315-39,"High Speed Rail, Transit, 3D"
315-40_5 Minute Southern Cal Video,5 Minute Southern Cal Video,California High Speed Rail Authority,315-40,"High Speed Rail, Transit, 3D"
315-41_Station Development,Station Development,California High Speed Rail Authority,315-41,"High Speed Rail, Transit, 3D"
315-100_CHSR Project Managment,CHSR Project Managment,California High Speed Rail Authority,315-100,"High Speed Rail, Transit, 3D"
315-101_CHSR Website Update,CHSR Website Update,California High Speed Rail Authority,315-101,"High Speed Rail, Transit, 3D"
315-102_Business Plan,Business Plan,California High Speed Rail Authority,315-102,"High Speed Rail, Transit, 3D"
315-103_On-Call Documentary Services,On-Call Documentary Services,California High Speed Rail Authority,315-103,"High Speed Rail, Transit, 3D"
315-104_Penninsula,Penninsula,California High Speed Rail Authority,315-104,"High Speed Rail, Transit, 3D"
315-106_On-Call Documentary Services,On-Call Documentary Services,California High Speed Rail Authority,315-106,"High Speed Rail, Transit, 3D"
315-107_Tehachapi,Tehachapi,California High Speed Rail Authority,315-107,"High Speed Rail, Transit, 3D"
315-109_Audio Demonstrations,Audio Demonstrations,California High Speed Rail Authority,315-109,"High Speed Rail, Transit, 3D"
315-110_Bakersfield - Fresno,Bakersfield - Fresno,California High Speed Rail Authority,315-110,"High Speed Rail, Transit, 3D"
315-111_LA River Bridge,LA River Bridge,California High Speed Rail Authority,315-111,"High Speed Rail, Transit, 3D"
315-112_San Grabriel River,San Grabriel River,California High Speed Rail Authority,315-112,"High Speed Rail, Transit, 3D"
315-113_Rio Hondo River,Rio Hondo River,California High Speed Rail Authority,315-113,"High Speed Rail, Transit, 3D"
315-114_LA - Anaheim,LA - Anaheim,California High Speed Rail Authority,315-114,"High Speed Rail, Transit, 3D"
315-115_Norwalk Station,Norwalk Station,California High Speed Rail Authority,315-115,"High Speed Rail, Transit, 3D"
315-116_SJ_MD,SJ_MD,California High Speed Rail Authority,315-116,"High Speed Rail, Transit, 3D"
315-117_CHSR Fresno to Bakersfield II,CHSR Fresno to Bakersfield II,California High Speed Rail Authority,315-117,"High Speed Rail, Transit, 3D"
315-118_CHSR - LA-Palmdale,CHSR - LA-Palmdale,California High Speed Rail Authority,315-118,"High Speed Rail, Transit, 3D"
315-120_CHSR Google Map,CHSR Google Map,California High Speed Rail Authority,315-120,"High Speed Rail, Transit, 3D"
315-999_CHSRA Previously Billed,CHSRA Previously Billed,California High Speed Rail Authority,315-999,"High Speed Rail, Transit, 3D"
315-1001_CSHR Archive,CSHR Archive,California High Speed Rail Authority,315-1001,"High Speed Rail, Transit, 3D"
315-1002_CSHR Archive,CSHR Archive,California High Speed Rail Authority,315-1002,"High Speed Rail, Transit, 3D"
315-1092_CHSR Noise Video,CHSR Noise Video,California High Speed Rail Authority,315-1092,"High Speed Rail, Transit, 3D"
315-1161_SJ_4D,SJ_4D,California High Speed Rail Authority,315-1161,"High Speed Rail, Transit, 3D"
315-1165_SJ-MC Alternative Structures Study,SJ-MC Alternative Structures Study,California High Speed Rail Authority,315-1165,"High Speed Rail, Transit, 3D"
315-1166_Morgan Hill Photosimulations,Morgan Hill Photosimulations,California High Speed Rail Authority,315-1166,"High Speed Rail, Transit, 3D"
315-1167_San Jose 3D Model and Animation,San Jose 3D Model and Animation,California High Speed Rail Authority,315-1167,"High Speed Rail, Transit, 3D"
315-1183_Soledad Canyon Road/ SR 14: Eye level,Soledad Canyon Road/ SR 14: Eye level,California High Speed Rail Authority,315-1183,"High Speed Rail, Transit, 3D"
315-2018_CHSR WSP Modeling,CHSR WSP Modeling,WSP Global,315-2018,"HSR, 3D"
315-11701_Fresno - Aerial Downtown Station Area,Fresno - Aerial Downtown Station Area,California High Speed Rail Authority,315-11701,"High Speed Rail, Transit, 3D"
315-11702_Roeding Park - Aerial,Roeding Park - Aerial,California High Speed Rail Authority,315-11702,"High Speed Rail, Transit, 3D"
315-11703_Bakersfield – Aerial Downtown Station Area,Bakersfield – Aerial Downtown Station Area,California High Speed Rail Authority,315-11703,"High Speed Rail, Transit, 3D"
315-11704_Hanford – Aerial East of Downtown Station Area,Hanford – Aerial East of Downtown Station Area,California High Speed Rail Authority,315-11704,"High Speed Rail, Transit, 3D"
315-11705_Edison Highway Options,Edison Highway Options,California High Speed Rail Authority,315-11705,"High Speed Rail, Transit, 3D"
315-11706_Edison CA58 Options,Edison CA58 Options,California High Speed Rail Authority,315-11706,"High Speed Rail, Transit, 3D"
315-11707_Fresno Divisadero Eye-Level,Fresno Divisadero Eye-Level,California High Speed Rail Authority,315-11707,"High Speed Rail, Transit, 3D"
315-11801_3D still rendering: portal option 1,3D still rendering: portal option 1,California High Speed Rail Authority,315-11801,"High Speed Rail, Transit, 3D"
315-11802_3D still rendering: portal option 2,3D still rendering: portal option 2,California High Speed Rail Authority,315-11802,"High Speed Rail, Transit, 3D"
315-11803_Sand Canyon Updates,Sand Canyon Updates,California High Speed Rail Authority,315-11803,"High Speed Rail, Transit, 3D"
315-11811_Glendale Grade Separation at Chevy Chase: Eye level,Glendale Grade Separation at Chevy Chase: Eye level,California High Speed Rail Authority,315-11811,"High Speed Rail, Transit, 3D"
315-11812_Glendale Grade Separations at Broadway: Eye level,Glendale Grade Separations at Broadway: Eye level,California High Speed Rail Authority,315-11812,"High Speed Rail, Transit, 3D"
315-11814_Palmdale Station/ SR 14 West: Aerial,Palmdale Station/ SR 14 West: Aerial,California High Speed Rail Authority,315-11814,"High Speed Rail, Transit, 3D"
315-11815_Palmdale Station/ Program Alignment: Aerial,Palmdale Station/ Program Alignment: Aerial,California High Speed Rail Authority,315-11815,"High Speed Rail, Transit, 3D"
315-11816_Palmdale Grade Separation Crossing SR 14: Aerial,Palmdale Grade Separation Crossing SR 14: Aerial,California High Speed Rail Authority,315-11816,"High Speed Rail, Transit, 3D"
315-16101_Diridon Station,Diridon Station,California High Speed Rail Authority,315-16101,"High Speed Rail, Transit, 3D"
315-16102_Fuller Avenue,Fuller Avenue,California High Speed Rail Authority,315-16102,"High Speed Rail, Transit, 3D"
315-16103_Monterey Road,Monterey Road,California High Speed Rail Authority,315-16103,"High Speed Rail, Transit, 3D"
315-16104_Coyote Creek,Coyote Creek,California High Speed Rail Authority,315-16104,"High Speed Rail, Transit, 3D"
315-16105_Gilroy Neighborhood,Gilroy Neighborhood,California High Speed Rail Authority,315-16105,"High Speed Rail, Transit, 3D"
315-16106_Gilroy DT Aerial,Gilroy DT Aerial,California High Speed Rail Authority,315-16106,"High Speed Rail, Transit, 3D"
315-16107_Gilroy East Aerial,Gilroy East Aerial,California High Speed Rail Authority,315-16107,"High Speed Rail, Transit, 3D"
315-16108_Casa de Fruta,Casa de Fruta,California High Speed Rail Authority,315-16108,"High Speed Rail, Transit, 3D"
315-16109_San Luis Res,San Luis Res,California High Speed Rail Authority,315-16109,"High Speed Rail, Transit, 3D"
315-16110_SJNC,SJNC,California High Speed Rail Authority,315-16110,"High Speed Rail, Transit, 3D"
315-16111_Los Banos,Los Banos,California High Speed Rail Authority,315-16111,"High Speed Rail, Transit, 3D"
315-16112_Grade Separation,Grade Separation,California High Speed Rail Authority,315-16112,"High Speed Rail, Transit, 3D"
315-16113_SJDT Aerial,SJDT Aerial,California High Speed Rail Authority,315-16113,"High Speed Rail, Transit, 3D"
315-16300_Diridon Station Visual Simulations,Diridon Station Visual Simulations,California High Speed Rail Authority,315-16300,"High Speed Rail, Transit, 3D"
315-17300_Fresno Station Visual Simulations,Fresno Station Visual Simulations,California High Speed Rail Authority,315-17300,"High Speed Rail, Transit, 3D"
315-118021_Santa Clarita Area Photosimulations,Santa Clarita Area Photosimulations,California High Speed Rail Authority,315-118021,"High Speed Rail, Transit, 3D"
316-01_Tennessee Smart Growth,Tennessee Smart Growth,Knoxville Tourism & Sports Corp.,316-01,"Planning, 3D"
317-01_Siletz,Siletz,HGE Inc.,317-01,"Architecture, 3D"
318-01_The Westerly,The Westerly,24th Place LLC,318-01,"Architecture, 3D"
319-01_SoWa Block 31,SoWa Block 31,Ankrom Moisan Associated Architects,319-01,"City Model, Architecture, 3D"
320-01_Crest Drive,Crest Drive,,320-01,
321-01_Macau Monorail,Macau Monorail,Hitachi America Ltd.,321-01,"Monorail, Transit, 3D"
322-01_Hannah,Hannah,Unitan Creative,322-01,"Advertising, 3D"
323-01_Zupans,Zupans,LRS Architects,323-01,"Architecture, 3D"
324-01_Fort Collins River District,Fort Collins River District,City of Fort Collins,324-01,"Urban Design, 3D"
325-01_Google SketchUp,Google SketchUp,Google,325-01,"Modeling, 3D"
326-01_Sky Harbor,Sky Harbor,IHI Corporation,326-01,"People Mover, Transit, 3D"
327-01_Milwaukie LRT,Milwaukie LRT,Hatch Mott MacDonald LLC,327-01,"Light Rail, Transit, 3D"
328-01_Fort Collins III,Fort Collins III,City of Fort Collins,328-01,"Bus Rapid Transit, Transit, 3D"
329-01_OFCC Myrtle Point,OFCC Myrtle Point,Mildren Design Group,329-01,"Architecture, 3D"
331-01_Eagles Landing,Eagles Landing,,331-01,
331-02_Eagles Landing - Take 2,Eagles Landing - Take 2,Veritas Investments,331-02,
332-01_Hytrans,Hytrans,Hytrans,332-01,"People Mover, Transit, 3D"
333-01_Independence Station,Independence Station,Ankrom Moisan Associated Architects,333-01,"Mixed, Architecture, 3D"
334-01_Pacific University,Pacific University,Sera Architects Inc.,334-01,"Institutional, Architecture, 3D"
335-01_1st & Market,1st & Market,Ankrom Moisan Associated Architects,335-01,"Architecture, 3D"
336-01_Sacramento Streetcar,Sacramento Streetcar,HDR,336-01,"Streetcar, Transit, 3D"
337-01_100 Multnomah,100 Multnomah,Ankrom Moisan Associated Architects,337-01,"Architecture, 3D"
338-01_SOWA Block 46,SOWA Block 46,Ankrom Moisan Associated Architects,338-01,"City Model, Architecture, 3D"
339-01_1st & Main,1st & Main,Shorenstein,339-01,"City Model, Architecture, 3D"
340-01_Sacramento Railyards,Sacramento Railyards,"""Thomas Enterprises, Inc.""",340-01,"City Model, Urban Design, 3D"
341-01_ARTIC Update,ARTIC Update,City of Anahiem,341-01,"High Speed Rail, Transit, 3D"
342-01_Houston Metro,Houston Metro,Metropolitan Transit Authority of Harris County Texas,342-01,"Light Rail, Transit, 3D"
343-01_Airport Way IV,Airport Way IV,Walker and Macy,343-01,"Highways, 3D"
344-01_Microsoft PRT (Label PRT_NDA),Microsoft PRT,HDR,344-01,"People Mover, Transit, 3D"
345-01_Vancouver Main Street,Vancouver Main Street,Crandal Arambula,345-01,"Streetscape, 3D"
346-01_Birmingham BRT,Birmingham BRT,AECOM,346-01,"Bus Rapid Transit, Transit, 3D"
346-02_Birmingham BRT (Expanded Video),Birmingham BRT (Expanded Video),AECOM,346-02,"Bus Rapid Transit, Transit, 3D"
347-01_Arena,Arena,,347-01,
348-01_Spokane,Spokane,David Evans & Associates,348-01,"Bus Rapid Transit, Transit, 3D"
349-01_Geopier,Geopier,GFC West,349-01,"Civil, 3D"
350-01_Freeport,Freeport,,350-01,
351-01_Bel-Red Corridor,Bel-Red Corridor,,351-01,
352-01_Sacramento APM,Sacramento APM,IHI Corporation,352-01,"People Mover, Transit, 3D"
353-01_SoWa Block 42,SoWa Block 42,GBD Architects,353-01,"City Model, Architecture, 3D"
354-01_Virtual Room,Virtual Room,Emblazed Media,354-01,"Modeling, 3D"
355-01_Park Ave West,Park Ave West,,355-01,
356-01_Ford Hall Willamette University,Ford Hall Willamette University,Hennebery Architects,356-01,"Architecture, 3D"
357-01_Tacoma General,Tacoma General Hospital,MultiCare Health System,357-01,"Architecture, 3D"
357-01_Tacoma General 3D Model Export,Tacoma General 3D Model Export,Skanska,357-01,"Export, 3D"
357-01_Tacoma General Flip Book,Tacoma General Hospital Flip Book,MultiCare Health System,357-01,"Architecture, 3D"
358-01_Korea APM,Korea APM,IHI Corporation,358-01,"People Mover, Transit, 3D"
359-01_KGW City Model,KGW City Model,KGW Television,359-01,"City Model, 3D"
360-01_Golden Ears Bridge,Golden Ears Bridge,The Marketing Workshop,360-01,"Bridges, 3D"
361-01_Restaurant Prototypes (BV) NDA,Restaurant Prototypes (BV) NDA,Litmus Design + Architecture,361-01,"Architecture, 3D"
362-01_Dynamic Force Solutions,Dynamic Force Solutions,Dynamic Force Solutions,362-01,"Construction, 3D"
363-01_Canada Line,Canada Line,,363-01,
364-01_East End UPRR Overpass- Houston,East End UPRR Overpass- Houston,Metropolitan Transit Authority of Harris County Texas,364-01,"Light Rail, Transit, 3D"
365-01_Living Savior Church,Living Savior Church,Dennis Mitchell Thompson Architects,365-01,"Architecture, 3D"
366-01_Downtown Links- Tucson,Downtown Links- Tucson,HDR,366-01,"Streetcar, Transit, 3D"
367-01_Fresno PTIS (Streetcar),Fresno PTIS (Streetcar),Kimley-Horn & Associates Inc.,367-01,"Streetcar, Transit, 3D"
367-02_Fresno BRT,Fresno BRT,"Kimley-Horn & Associates Inc.,Bertz-Rosa",367-02,"Bus Rapid Transit, Transit, 3D"
367-03_Fresno BRT Video Update,,,367-03,
367-03_Fresno BRT Video Update,Fresno BRT Video Update,Parsons Brinckerhoff in the USA,367-03,"Bus Rapid Transit, Transit, 3D"
368-01_Holiday Inn Prototypes,Holiday Inn Prototypes,XPLANE,368-01,
369-01_East Bay BRT,East Bay BRT,Singer Associates Inc.,369-01,"Bus Rapid Transit, Transit, 3D"
369-02_East Bay BRT Update,East Bay BRT Update,AC Transit,369-02,"Bus Rapid Transit, BRT, 3D"
370-01_Mapleton Rd Building Complex,Mapleton Rd Building Complex,,370-01,
371-01_Roosevelt Operations Center,Roosevelt Operations Center,,371-01,
372-01_Touchmark Heights,Touchmark Heights,,372-01,
373-01_100 Columbia,100 Columbia,,373-01,
374-01_Essex Condos,Essex Condos,,374-01,
375-01_Milwaukie Bridge Simulation,Milwaukie Bridge Simulation,URS Corporation,375-01,"Light Rail, Bridges, Transit, 3D"
376-01_Gladstone Honda,Gladstone Honda,Unitan Creative,376-01,"Advertising, 3D"
377-01_Toyota Financing,Toyota Financing,Unitan Creative,377-01,"Advertising, 3D"
378-01_Autodesk Presentation,Autodesk University Keynote Presentation,Autodesk,378-01,"City Model, 3D"
379-01_ARTIC West Station,ARTIC West Station,City of Anahiem,379-01,"Station, Transit, 3D"
381-01_Steve Fisher World Map,Steve Fisher World Map,Unitan Creative,381-01,"Advertising, 3D"
382-01_Vestas South Waterfront,Vestas South Waterfront,GBD Architects,382-01,"City Model, Architecture, 3D"
383-01_Wyndham Vacation Ownership,Wyndham Vacation Ownership,SERA Architects,383-01,"Architecture, 3D"
384-01_Galleria Drive-Thru,Galleria Interchange Drive-Thru,PBS&J,384-01,"Highways, 3D"
386-01_Tucson Broadway Corridor,Tucson Broadway Corridor,HDR,386-01,"Streetcar, Streetcar, 3D"
387-01_Central to Central,Central to Central,DB Sterlin Consultants,387-01,"Highways, 3D"
388-01_Atlanta BeltLine,Atlanta BeltLine,AECOM,388-01,"Streetcar, Transit, 3D"
389-01_Spaceship,Spaceship,GeoMetrics,389-01,"Architecture, 3D"
390-01_I-15,I-15,Skanska USA Civil West CA,390-01,"Construction, 3D"
391-01_Grand Rapids BRT & Streetcar,Grand Rapids BRT & Streetcar,DDM Marketing,391-01,"Bus Rapid Transit, Transit, 3D"
392-01_Allison Inn and Spa,Allison Inn and Spa,,392-01,
393-01_Lake Oswego Trolley DEIS,Lake Oswego Trolley DEIS,URS Corporation,393-01,"Streetcar, Transit, 3D"
394-01_Milwaukie Bridge - Rosales,Milwaukie Bridge - Rosales,Rosales,394-01,"Bridges, 3D"
395-01_Richmond BRT Proposal,Richmond BRT Proposal,AECOM,395-01,"Bus Rapid Transit, Transit, 3D"
396-01_Ardenwald Visual Diagrams,Ardenwald Visual Diagrams,Hatch Mott MacDonald LLC,396-01,"Light Rail, Transit, 3D"
397-01_Best Buy Canada,Best Buy Canada,IDL Worldwide,397-01,"Retail, 3D"
397-02_Target Fall 09,Target Fall 09,IDL Worldwide,397-02,"Retail, 3D"
397-03_Best Buy Serpentine,Best Buy Serpentine,IDL Worldwide,397-03,"Retail, 3D"
397-04_Wal-Mart Canada,Wal-Mart Canada,IDL Worldwide,397-04,"Retail, 3D"
397-05_MexicoMixUp,MexicoMixUp,IDL Worldwide,397-05,"Retail, 3D"
397-06_AndelePues,AndelePues,IDL Worldwide,397-06,"Retail, 3D"
397-07_B5 Update,B5 Update,IDL Worldwide,397-07,"Retail, 3D"
397-08_iPod Worldwide Freestanding Unit,iPod Worldwide Freestanding Unit,IDL Worldwide,397-08,"Retail, 3D"
397-09_XBOX White Model,XBOX White Model,IDL Worldwide,397-09,"Retail, 3D"
397-10_Nike Foot Locker,Nike Foot Locker,IDL Worldwide,397-10,"Retail, 3D"
397-11_Sephora Display,Sephora Display,IDL Worldwide,397-11,"Retail, 3D"
397-12_Hasbro,Hasbro,IDL Worldwide,397-12,"Retail, 3D"
397-13_Callaway Del Mar,Callaway Del Mar,IDL Worldwide,397-13,"Retail, 3D"
397-14_Callaway Showroom,Callaway Showroom,IDL Worldwide,397-14,"Retail, 3D"
397-15_Nixon,Nixon,IDL Worldwide,397-15,"Retail, 3D"
397-16_Nike Alpha Trunner,Nike Alpha Trunner,IDL Worldwide,397-16,"Retail, 3D"
397-17_Apple Target,Apple Target,IDL Worldwide,397-17,"Retail, 3D"
397-18_Apple Muller,Apple Muller,IDL Worldwide,397-18,"Retail, 3D"
397-19_Apple EDEKA,Apple EDEKA,IDL Worldwide,397-19,"Retail, 3D"
397-20_Apple Walmart,Apple Walmart,IDL Worldwide,397-20,"Retail, 3D"
397-21_Apple Clinton Cards,Apple Clinton Cards,IDL Worldwide,397-21,"Retail, 3D"
397-22_Apple Saturn,Apple Saturn,IDL Worldwide,397-22,"Retail, 3D"
397-23_Apple_Target_Rev2,Apple_Target_Rev2,IDL Worldwide,397-23,"Retail, 3D"
397-24_Menards Color Center,Menards Color Center,IDL Worldwide,397-24,"Retail, 3D"
397-25_Apple Walmart 02,Apple Walmart 02,IDL Worldwide,397-25,"Retail, 3D"
397-26_Apple Iphone 4,Apple Iphone 4,IDL Worldwide,397-26,"Retail, 3D"
397-27_Apple MediaMart,Apple MediaMart,IDL Worldwide,397-27,"Retail, 3D"
397-28_Apple REAL,Apple REAL,IDL Worldwide,397-28,"Retail, 3D"
397-29_Best Buy Future Shop,Best Buy Future Shop,IDL Worldwide,397-29,"Retail, 3D"
397-30_Gordons Bottle,Gordons Bottle,IDL Worldwide,397-30,"Retail, 3D"
397-31_Apple Itunes Temp Displays,Apple Itunes Temp Displays,IDL Worldwide,397-31,"Retail, 3D"
397-32_Apple DUANEreade,Apple DUANEreade,IDL Worldwide,397-32,"Retail, 3D"
397-33_Iphone4_Brazil_VIVO,Iphone4_Brazil_VIVO,IDL Worldwide,397-33,"Retail, 3D"
397-34_Apple_Brazil_Claro,Apple_Brazil_Claro,IDL Worldwide,397-34,"Retail, 3D"
397-35_Iphone4_Mexico,Iphone4_Mexico,IDL Worldwide,397-35,"Retail, 3D"
397-36_Ipad Phase III,Ipad Phase III,IDL Worldwide,397-36,"Retail, 3D"
397-37_Apple_Itunes_Stores,Apple_Itunes_Stores,IDL Worldwide,397-37,"Retail, 3D"
397-38_Itunes Tier II,Itunes Tier II,IDL Worldwide,397-38,"Retail, 3D"
397-39_iTunes Sell-In Decks,iTunes Sell-In Decks,IDL Worldwide,397-39,"Retail, 3D"
397-40_Converse Showroom,Converse Showroom,IDL Worldwide,397-40,"Retail, 3D"
397-41_Salvation Final,Salvation Final,IDL Worldwide,397-41,"Retail, 3D"
397-701_B5 Update,B5 Update,IDL Worldwide,397-701,"Retail, 3D"
398-01_Vancouver 4th Plain BRT,Vancouver 4th Plain BRT,Parsons Brinckerhoff in the USA,398-01,"Bus Rapid Transit, Transit, 3D"
399-01_Update Flywheel Animations and Stills,Update Flywheel Animations and Stills,Kinetic Traction,399-01,"Industrial Design, 3D"
400-01_PTV Bus Model,PTV Bus Model,,400-01,"BRT, 3D"
401-01_Autodesk CMD,Autodesk CMD,Creative Media Development,401-01,"Architecture, 3D"
402-01_Lowry Avenue Bridge,Lowry Avenue Bridge,TYLIN International,402-01,"Bridges, 3D"
403-01_AMA Logo Animation,AMA Logo Animation,AMA,403-01,"City Model, 3D"
404-00_Bay Bridge,Bay Bridge,TYLIN International,404-00,"Bridges, 3D"
404-0_Oakland Bay Bridge Main Span,Oakland Bay Bridge Main Span,TYLIN International,404-0,"Bridges, 3D"
404-04_Bay Bridge Pilings,Bay Bridge Pilings,TYLIN International,404-04,"Bridges, Construction, 3D"
404-05_Bay Bridge Load Transfer Animation,Bay Bridge Load Transfer Animation,TYLIN International,404-05,"Bridges, Construction, 3D"
404-06_Bay Bridge Load Transfer Animation,Bay Bridge Load Transfer Animation,TYLIN International,404-06,"Bridges, Construction, 3D"
404-07_Bay Bridge Pier Renderings,Bay Bridge Pier Renderings,TYLIN International,404-07,"Bridges, Construction, 3D"
404-08_E2 Retrofit Animation,E2 Retrofit Animation,TYLIN International,404-08,"Bridges, 3D"
405-01_Greenbrae Corridor Improvement Project,Greenbrae Corridor Improvement Project,,405-01,
406-01_Queen Elizabeth Way Toronto,Queen Elizabeth Way Toronto,MRC,406-01,"Highways, 3D"
407-01_Milwaukie LRT East Segment PE,Milwaukie LRT East Segment PE,Hatch Mott MacDonald LLC,407-01,"Light Rail, Transit, 3D"
408-01_State Street TTOP,State Street TTOP,Kittelson & Associates Inc,408-01,"Bus Rapid Transit, Transit, 3D"
408-02_State Street BRT TOD,State Street BRT TOD,"Ankrom Moisan Associated Architects,Kittelson & Associates Inc,Crandal Arambula",408-02,"Bus Rapid Transit, BRT, 3D"
409-01_I-5 Community Connector,I-5 Community Connector,Mayer Reed Landscape Architects,409-01,"Landscape, 3D"
410-01_Corona HSR,Corona HSR,City of Corona,410-01,"High Speed Rail, Transit, 3D"
411-01_Fulton Street,Fulton Street,NC3D,411-01,"Highways, 3D"
413-01_WOU,WOU,,413-01,
414-01_Fire Station HQ,Fire Station HQ,Ruhnau-Ruhnau-Clarke Architects & Planners,414-01,"Architecture, 3D"
415-01_Operations Center,Operations Center,,415-01,
416-01_Granite Hills HS,Granite Hills HS,,416-01,
417-01_PMLRT FEIS,Portland/Milwalkie LRT FEIS,David Evans & Associates,417-01,"Light Rail, Transit, 3D"
418-01_San Jose PRT,San Jose PRT,Lea and Elliott,418-01,"People Mover, Transit, 3D"
419-01_DART Cotton Belt,DART Cotton Belt,HDR,419-01,"Commuter Rail, Transit, 3D"
420-01_College Station,College Station,Sera Architects Inc.,420-01,"City Model, Architecture, 3D"
420-02_College Station Revisions,College Station Revisions,Sera Architects Inc.,420-02,"City Model, Architecture, 3D"
420-03_College Station -- Corridor View,College Station -- Corridor View,Sera Architects Inc.,420-03,"City Model, Architecture, 3D"
421-01_Link,Link,Harbor Properties,421-01,"Mixed, Architecture, 3D"
422-01_Gimpo City APM,Gimpo City APM,,422-01,"People Mover, 3D"
423-01_Blue Signal Training,Blue Signal Training,Bombardier Transportation,423-01,"Railroad, Transit, 3D"
424-01_Metrolink PTC,Metrolink PTC,Metrolink,424-01,"Commuter Rail, Transit, 3D"
425-00_LA Streetcar,LA Streetcar,"""LA Streetcar, Inc.""",425-00,"Streetcar, Transit, 3D"
425-01_Additional Service: Streetcar Images for Brochure,Additional Service: Streetcar Images for Brochure,"""LA Streetcar, Inc.""",425-01,"Streetcar, Transit, 3D"
425-02_LA Streetcar Visual Impacts,LA Streetcar Visual Impacts,HDR,425-02,"Streetcar, Transit, 3D"
425-03_LA Streetcar Additional Visual Simulations,LA Streetcar Additional Visual Simulations,Urban One,425-03,"Streetcar, Transit, 3D"
425-04_LA Streetcar Renderings,LA Streetcar Renderings,"""LA Streetcar, Inc.""",425-04,"Streetcar, Transit, 3D"
425-05 LA Streetcar Reboot,LA Streetcar Reboot,"""LA Streetcar, Inc.""",,"Streetcar, Transit, 3D"
425-06_LA Streetcar,Additional Shots,"""LA Streetcar, Inc.""",425-06,"Streetcar, Transit, 3D"
426-01_Fern Valley Interchange,Fern Valley Interchange,URS Corporation,426-01,"DDI, Highways, 3D"
426-02_Fern Valley Interchange 3D Animation,Fern Valley Interchange 3D Animation,Oregon Department of Transportation,426-02,"DDI, Highways, 3D"
427-01_I80 ICM,I80 ICM,,427-01,
428-00_Good Samaritan Hospital,Good Samaritan Hospital,MultiCare Health System,428-00,"Institutional, Architecture, 3D"
428-01_Mulitcare Good Sam Patient Tower DVD Duplication,Mulitcare Good Sam Patient Tower DVD Duplication,MultiCare Health System,428-01,"Institutional, Architecture, 3D"
428-02_Good Samaritan Stills,Good Samaritan Stills,MultiCare Health System,428-02,"Institutional, Architecture, 3D"
429-01_Florida High Speed Rail,Florida High Speed Rail,Wilbur Smith Associates,429-01,"HSR, 3D"
430-01_Highway 62,Highway 62,URS Corporation,430-01,"Highways, 3D"
431-01_Veterans Memoral Bridge,Veterans Memoral Bridge,,431-01,"Bridges, 3D"
432-01_West Sacramento Streetcar Animation Video Export,West Sacramento Streetcar Animation Video Export,City of West Sacramento,432-01,"Streetcar, Streetcar, 3D"
433-01_Lowry Avenue Bridge,Lowry Avenue Bridge,TYLIN International,433-01,"Bridges, 3D"
434-01_Fidelity Walkthru,Fidelity Walkthru,Hinge Digital,434-01,"Commercial, Architecture, 3D"
435-01_Nashville Streetcar Proposal,Nashville Streetcar Proposal,AECOM,435-01,"Streetcar, Transit, 3D"
436-01_Siemens Streetcar,Siemens Streetcar,Siemens,436-01,"Streetcar, 3D"
437-01_Peterson CRC Proposal,Peterson CRC Proposal,Peterson,437-01,"Bridges, 3D"
438-01_GBD Standard Insurance,GBD Standard Insurance,,438-01,"Architecture, 3D"
439-01_Fern Valley Interchange,Fern Valley Interchange Proposal,URS Corporation,439-01,"DDI, Highways, 3D"
441-01_Santana Row Parcel 6B 3D Rendering,Santana Row Parcel 6B 3D Rendering,Federal Realty,441-01,"Retail, Architecture, 3D"
442-01_Fidelity II,Fidelity II,Hinge Digital,442-01,"Commercial, Architecture, 3D"
443-01_QEW Garden City Skyway,QEW Garden City Skyway,MRC,443-01,"Bridges, Highways, 3D"
443-02_QEW Skyway Export,QEW Garden City Skyway Model Export,MRC,443-02,"Bridges, 3D"
444-01_QEW Credit River Bridge,QEW Credit River Bridge,MRC,444-01,"Bridges, Highways, 3D"
444-02_Credit River Bridge Pedestrian Access,Credit River Bridge Pedestrian Access,MRC,444-02,"Bike, Highways, 3D"
445-01_OHSU 3D Model,OHSU 3D Model,ZGF Architects,445-01,"City Model, Urban Design, 3D"
446-01_Living Cities Challenge,Living Cities Challenge,ZGF Architects,446-01,"City Model, 3D"
447-01_Mid-Columbia Medical Center,Mid-Columbia Medical Center,PKA Architects,447-01,"Institutional, Architecture, 3D"
448-01_Safeway Truck Animation,Safeway Truck Animation,Group MacKenzie,448-01,"Traffic, 3D"
449-00_CHSR - SJ-MC,CHSR - SJ-MC,Parsons Transportation Group Inc.,449-00,"High Speed Rail, Transit, 3D"
449-01_San Jose Design Guidelines,San Jose Design Guidelines,Parsons Transportation Group Inc.,449-01,"High Speed Rail, Transit, 3D"
449-02_San Jose to Gilroy Visual Simulations,San Jose to Gilroy Visual Simulations,Parsons Transportation Group Inc.,449-02,"High Speed Rail, Transit, 3D"
449-03_CHSR San Jose Flyovers,CHSR San Jose Flyovers,HNTB Corporation,449-03,"HSR, 3D"
450-01_Project Galileo,Project Galileo,,450-01,
451-01_100 Multnomah Still,100 Multnomah Still,Trammell Crow Company,451-01,"Commercial, Architecture, 3D"
452-01_GeoMod Homes,GeoMod Homes,Roy Ettinger,452-01,"Residential, Architecture, 3D"
453-01_SMART,SMART,Sonoma-Marin Area Rail Transit,453-01,
